DISC MP4	TRACK	ARTIST	TITLE	LOCATION	TIME START	TIME END	FILE
1	1	---	Opening Credits	London	00:00:00.000	00:01:21.615	Live Aid (1985) - S01E01 - Disc 1.mp4
1	2	Status Quo	Rockin' All Over the World	London	00:01:21.615	00:05:27.828	Live Aid (1985) - S01E01 - Disc 1.mp4
1	3	Status Quo	Caroline	London	00:05:27.828	00:10:03.536	Live Aid (1985) - S01E01 - Disc 1.mp4
1	4	Style Council	Internationalists	London	00:10:03.536	00:13:15.995	Live Aid (1985) - S01E01 - Disc 1.mp4
1	5	Style Council	Walls Come Tumbling Down	London	00:13:15.995	00:16:48.007	Live Aid (1985) - S01E01 - Disc 1.mp4
1	6	Boomtown Rats	I Don't Like Mondays	London	00:16:48.007	00:22:15.401	Live Aid (1985) - S01E01 - Disc 1.mp4
1	7	Style Council	Drag Me Down	London	00:22:15.401	00:27:02.287	Live Aid (1985) - S01E01 - Disc 1.mp4
1	8	Adam Ant	Vive Le Rock	London	00:27:02.287	00:30:49.114	Live Aid (1985) - S01E01 - Disc 1.mp4
1	9	Ultravox	Dancing With Tears in My Eyes	London	00:30:49.114	00:35:41.640	Live Aid (1985) - S01E01 - Disc 1.mp4
1	10	Ultravox	Vienna	London	00:35:41.640	00:40:30.028	Live Aid (1985) - S01E01 - Disc 1.mp4
1	11	Spandau Ballet	Only When You Leave	London	00:40:30.028	00:46:01.359	Live Aid (1985) - S01E01 - Disc 1.mp4
1	12	Spandau Ballet	True	London	00:46:01.359	00:52:07.391	Live Aid (1985) - S01E01 - Disc 1.mp4
1	13	Elvis Costello	All You Need Is Love	London	00:52:07.391	00:56:00.324	Live Aid (1985) - S01E01 - Disc 1.mp4
1	14	Nik Kershaw	Wouldn't It Be Good	London	00:56:00.324	01:01:21.511	Live Aid (1985) - S01E01 - Disc 1.mp4
1	15	Sade	Your Love Is King	London	01:01:21.511	01:06:04.127	Live Aid (1985) - S01E01 - Disc 1.mp4
1	16	Sting + Phil Collins	Roxanne	London	01:06:04.127	01:10:00.763	Live Aid (1985) - S01E01 - Disc 1.mp4
1	17	Sting + Phil Collins	Against All Odds	London	01:10:00.763	01:14:06.475	Live Aid (1985) - S01E01 - Disc 1.mp4
1	18	Sting + Phil Collins	Every Breath You Take	London	01:14:06.475	01:17:37.653	Live Aid (1985) - S01E01 - Disc 1.mp4
1	19	Howard Jones	Hide & Seek	London	01:17:37.653	01:22:22.037	Live Aid (1985) - S01E01 - Disc 1.mp4
1	20	Bryan Ferry	Slave to Love	London	01:22:22.037	01:26:13.835	Live Aid (1985) - S01E01 - Disc 1.mp4
1	21	Bryan Ferry	Jealous Guy	London	01:26:13.835	01:30:27.689	Live Aid (1985) - S01E01 - Disc 1.mp4
1	22	Paul Young	Do They Know It's Christmas?	London	01:30:27.689	01:31:55.977	Live Aid (1985) - S01E01 - Disc 1.mp4
1	23	Paul Young	Come Back and Stay	London	01:31:55.977	01:38:33.908	Live Aid (1985) - S01E01 - Disc 1.mp4
1	24	Paul Young + Alison Moyet	That's the Way Love Is	London	01:38:33.908	01:43:45.219	Live Aid (1985) - S01E01 - Disc 1.mp4
1	25	Paul Young	Every Time You Go Away	London	01:43:45.219	01:50:42.970	Live Aid (1985) - S01E01 - Disc 1.mp4
1	26	---	Jack Nicholson (Philadelphia)	Philadelphia	01:50:42.970	01:51:06.093	Live Aid (1985) - S01E01 - Disc 1.mp4
1	27	Bryan Adams	Kids Wanna Rock	Philadelphia	01:51:06.093	01:54:24.157	Live Aid (1985) - S01E01 - Disc 1.mp4
1	28	Bryan Adams	Summer of '69	Philadelphia	01:54:24.157	01:58:43.683	Live Aid (1985) - S01E01 - Disc 1.mp4
1	29	---	Jack Nicholson (Philadelphia)	Philadelphia	01:58:43.683	02:04:28.761	Live Aid (1985) - S01E01 - Disc 1.mp4
1	30	U2	Sunday Bloody Sunday	London	02:04:28.761	02:14:09.275	Live Aid (1985) - S01E01 - Disc 1.mp4
1	31	U2	Bad	London	02:14:09.275	02:16:24.643	Live Aid (1985) - S01E01 - Disc 1.mp4
1	32	---	Closing Credits	London	02:16:24.643	02:17:44.256	Live Aid (1985) - S01E01 - Disc 1.mp4
							
2	1	The Beach Boys	Intro + Wouldn't It Be Nice	Philadelphia	00:00:00.000	00:02:48.602	Live Aid (1985) - S01E02 - Disc 2.mp4
2	2	The Beach Boys	Good Vibrations	Philadelphia	00:02:48.602	00:07:46.266	Live Aid (1985) - S01E02 - Disc 2.mp4
2	3	The Beach Boys	Surfin' USA	Philadelphia	00:07:46.266	00:10:59.359	Live Aid (1985) - S01E02 - Disc 2.mp4
2	4	Dire Straits + Sting	Money For Nothing	London	00:10:59.359	00:18:33.546	Live Aid (1985) - S01E02 - Disc 2.mp4
2	5	Dire Straits	Sultans Of Swing	London	00:18:33.546	00:30:13.145	Live Aid (1985) - S01E02 - Disc 2.mp4
2	6	George Thorogood + The Destroyers	Madison Blues	Philadelphia	00:30:13.145	00:35:33.765	Live Aid (1985) - S01E02 - Disc 2.mp4
2	7	Queen	Bohemian Rhapsody	London	00:35:33.765	00:38:16.361	Live Aid (1985) - S01E02 - Disc 2.mp4
2	8	Queen	Radio Gaga	London	00:38:16.361	00:43:04.982	Live Aid (1985) - S01E02 - Disc 2.mp4
2	9	Queen	Hammer To Fall	London	00:43:04.982	00:47:19.804	Live Aid (1985) - S01E02 - Disc 2.mp4
2	10	Queen	Crazy Little Thing Called Love	London	00:47:19.804	00:51:31.188	Live Aid (1985) - S01E02 - Disc 2.mp4
2	11	Queen	We Will Rock You	London	00:51:31.188	00:52:48.399	Live Aid (1985) - S01E02 - Disc 2.mp4
2	12	Queen	We Are The Champions	London	00:52:48.399	00:56:34.224	Live Aid (1985) - S01E02 - Disc 2.mp4
2	13	Simple Minds	Ghost Dancing	Philadelphia	00:56:34.224	01:01:58.048	Live Aid (1985) - S01E02 - Disc 2.mp4
2	14	Simple Minds	(Don't You) Forget About Me	Philadelphia	01:01:58.048	01:09:18.221	Live Aid (1985) - S01E02 - Disc 2.mp4
2	15	David Bowie	TVC15	London	01:09:18.221	01:13:06.616	Live Aid (1985) - S01E02 - Disc 2.mp4
2	16	David Bowie	Rebel Rebel	London	01:13:06.616	01:16:17.273	Live Aid (1985) - S01E02 - Disc 2.mp4
2	17	David Bowie	Modern Love	London	01:16:17.273	01:19:54.523	Live Aid (1985) - S01E02 - Disc 2.mp4
2	18	David Bowie	Heroes	London	01:19:54.523	01:26:45.901	Live Aid (1985) - S01E02 - Disc 2.mp4
2	19	---	CBC Ethiopian Famine Film	Video	01:26:45.901	01:30:54.449	Live Aid (1985) - S01E02 - Disc 2.mp4
2	20	Joan Baez	Amazing Grace	Philadelphia	01:30:54.449	01:32:22.804	Live Aid (1985) - S01E02 - Disc 2.mp4
2	21	The Pretenders	Stop Your Sobbing	Philadelphia	01:32:22.804	01:34:25.093	Live Aid (1985) - S01E02 - Disc 2.mp4
2	22	The Pretenders	Chain Gang	Philadelphia	01:34:25.093	01:38:00.208	Live Aid (1985) - S01E02 - Disc 2.mp4
2	23	The Pretenders	Middle Of The Road	Philadelphia	01:38:00.208	01:42:46.427	Live Aid (1985) - S01E02 - Disc 2.mp4
2	24	The Who	Love Reign O'er Me	London	01:42:46.427	01:47:59.707	Live Aid (1985) - S01E02 - Disc 2.mp4
2	25	The Who	Won't Get Fooled Again	London	01:47:59.707	01:57:35.015	Live Aid (1985) - S01E02 - Disc 2.mp4
2	26	Kenny Loggins	Footloose	Philadelphia	01:57:35.015	02:02:17.864	Live Aid (1985) - S01E02 - Disc 2.mp4
2	27	Elton John	Bennie and the Jets	London	02:02:17.864	02:07:33.012	Live Aid (1985) - S01E02 - Disc 2.mp4
2	28	Elton John	Rocket Man	London	02:07:33.012	02:12:24.136	Live Aid (1985) - S01E02 - Disc 2.mp4
2	29	Elton John + Kiki Dee	Don't Go Breaking My Heart	London	02:12:24.136	02:17:14.793	Live Aid (1985) - S01E02 - Disc 2.mp4
